"Word Type","Model","Predictor","Estimate","SE","df","t","p"
"Psuedo","Intercept Only","(Intercept)","4.45578022248182","0.00994873040363669","32541","447.87425547817","0"
"Psuedo","Random Intercept","(Intercept)","4.45570241465921","0.0400263981689812","31999","111.319094859557","0"
"Psuedo","Adjustor Variable","(Intercept)","4.48682207315344","0.059205195965191","31998","75.7842618372788","0"
"Psuedo","Adjustor Variable","letterfreq","-0.0050201896978741","0.00703451625048516","31998","-0.713651020072328","0.475448205536375"
"Psuedo","Main Effects","(Intercept)","4.16337615939046","0.0641132097681536","31995","64.9378836973858","0"
"Psuedo","Main Effects","letterfreq","0.0471413944896077","0.00801999637883902","31995","5.87798201679885","4.19410692584744e-09"
"Psuedo","Main Effects","speed","0.00439221747457802","0.00302823210950249","541","1.45042299128768","0.147520113278372"
"Psuedo","Main Effects","lrswitch","-0.0328158133851995","0.00979777100319917","31995","-3.34931418324478","0.000811054080051384"
"Psuedo","Main Effects","fingerswitch","-0.0645031389385834","0.0134946688107098","31995","-4.77989788733398","1.7616257663651e-06"
"Psuedo","Main Effects","rha","0.0500031807256833","0.00470246417661036","31995","10.6333996066136","2.30617047281435e-26"
"Psuedo","Interactions","(Intercept)","4.20089524077502","0.0649193608064139","31984","64.7094362697419","0"
"Psuedo","Interactions","letterfreq","0.0439691298594118","0.0080518312577313","31984","5.46076146556015","4.7762091055137e-08"
"Psuedo","Interactions","speed","0.00444910614816198","0.00306770356072162","541","1.45030510937485","0.147552956688987"
"Psuedo","Interactions","lrswitch","-0.0405930467875586","0.0105898405291919","31984","-3.83320661681921","0.000126725658618409"
"Psuedo","Interactions","fingerswitch","-0.04803691464199","0.0140665451873889","31984","-3.41497603015249","0.000638668058794492"
"Psuedo","Interactions","rha","0.0521262673126089","0.00695925259453737","31984","7.49021056564682","7.05352256890591e-14"
"Psuedo","Interactions","speed:lrswitch","0.0011769831850116","0.000789247774218295","31984","1.49127209915459","0.135899933169684"
"Psuedo","Interactions","speed:fingerswitch","-0.00126834965381321","0.00104926361154005","31984","-1.20879980956511","0.226748700918026"
"Psuedo","Interactions","lrswitch:fingerswitch","-0.00612364819550408","0.00598998779758594","31984","-1.02231396831426","0.306640056344059"
"Psuedo","Interactions","speed:rha","-0.00107454049550702","0.000499111821656035","31984","-2.15290531877553","0.0313335745999201"
"Psuedo","Interactions","lrswitch:rha","-0.00131451154795005","0.00476208647115792","31984","-0.276036891793446","0.782521514477051"
"Psuedo","Interactions","fingerswitch:rha","0.0202563615350675","0.00580826005256541","31984","3.48750940070608","0.00048819625638232"
"Psuedo","Interactions","speed:lrswitch:fingerswitch","4.56074921487727e-06","0.000445979733714335","31984","0.0102263597874575","0.991840751408019"
"Psuedo","Interactions","speed:lrswitch:rha","-0.000214786366378005","0.000356689255155414","31984","-0.602166629001537","0.54706749526825"
"Psuedo","Interactions","speed:fingerswitch:rha","6.60909878829822e-05","0.00044044119786294","31984","0.150056325801632","0.88072112291371"
"Psuedo","Interactions","lrswitch:fingerswitch:rha","0.00463641307364834","0.00347447768154863","31984","1.33442016285505","0.182075695593426"
"Psuedo","Interactions","speed:lrswitch:fingerswitch:rha","3.69285292957201e-05","0.000266333178302725","31984","0.138655384699182","0.889723348226657"
"Real","Intercept Only","(Intercept)","5.33991006699186","0.0136674655935024","32690","390.702287154869","0"
"Real","Random Intercept","(Intercept)","5.33856465151823","0.0310222593164588","32145","172.088196319275","0"
"Real","Adjustor Variable","(Intercept)","5.05949441307937","0.0658977396665297","32144","76.7779659618455","0"
"Real","Adjustor Variable","letterfreq","0.0474161000942121","0.00985507138323478","32144","4.81134009590994","1.50600831125847e-06"
"Real","Main Effects","(Intercept)","4.72947425653931","0.0736980600188531","32141","64.1736601388074","0"
"Real","Main Effects","letterfreq","0.103512794006726","0.0114247478526504","32141","9.06040074947582","1.37128193472599e-19"
"Real","Main Effects","speed","-0.000494728172406052","0.00224929248351015","544","-0.219948350884986","0.825993890467473"
"Real","Main Effects","lrswitch","0.0379234223551825","0.0136720970905778","32141","2.77378240543051","0.0055440674742634"
"Real","Main Effects","fingerswitch","-0.0755923280455502","0.012018162124188","32141","-6.28984093111972","3.21876556193005e-10"
"Real","Main Effects","rha","0.0475398663514354","0.00643538858524029","32141","7.3872565303157","1.53526916592888e-13"
"Real","Interactions","(Intercept)","4.7670546482016","0.0755716658156805","32130","63.0799201889827","0"
"Real","Interactions","letterfreq","0.0943298960745159","0.0117017748468823","32130","8.0611614313916","7.81721818575981e-16"
"Real","Interactions","speed","0.00122257457775868","0.00234213070214696","544","0.52199246465536","0.601888048984255"
"Real","Interactions","lrswitch","0.0128657523618023","0.0143694108088586","32130","0.895356986653248","0.370602993701948"
"Real","Interactions","fingerswitch","-0.0757454036473929","0.012835539698173","32130","-5.90122467995442","3.64426517443897e-09"
"Real","Interactions","rha","0.0678743689431147","0.00956459022668515","32130","7.09642204573966","1.30678265150177e-12"
"Real","Interactions","speed:lrswitch","-0.00111211737098268","0.00105215255836626","32130","-1.05699250754048","0.290522953885818"
"Real","Interactions","speed:fingerswitch","0.00236040523050558","0.000945657972852479","32130","2.49604539724407","0.0125636247472367"
"Real","Interactions","lrswitch:fingerswitch","0.0125529633062199","0.00477145911594346","32130","2.63084373169523","0.00852138299907144"
"Real","Interactions","speed:rha","0.000136264120623943","0.000678172700131077","32130","0.200928348483515","0.840755872675768"
"Real","Interactions","lrswitch:rha","0.00356233307583166","0.00629925688241012","32130","0.565516400161267","0.571726521406355"
"Real","Interactions","fingerswitch:rha","0.00428011465666957","0.00429627227384474","32130","0.99623915428416","0.31914146196092"
"Real","Interactions","speed:lrswitch:fingerswitch","-0.000946260228636977","0.000358611949253621","32130","-2.63867456342832","0.00832709743366704"
"Real","Interactions","speed:lrswitch:rha","-0.000218730672788017","0.000470057899210705","32130","-0.465327086631876","0.641700394036808"
"Real","Interactions","speed:fingerswitch:rha","8.40493456897921e-06","0.000316002377446882","32130","0.0265976940961213","0.978780777637981"
"Real","Interactions","lrswitch:fingerswitch:rha","-0.0112672041322591","0.00191651746844671","32130","-5.87899892266097","4.16828053706805e-09"
"Real","Interactions","speed:lrswitch:fingerswitch:rha","-2.25871613392136e-05","0.000141831503649453","32130","-0.15925348570681","0.873470166988804"
