"Word Type","Model","Predictor","Estimate","SE","df","t","p"
"Real","Low Finger Switch, High Hand Switch","speed:highlrswitch:rha","0.000235671189517252","0.000608210559279312","35670","0.387482897035702","0.698401056083172"
"Real","Low Finger Switch, High Hand Switch","speed:lowfingerswitch:rha","-0.000195425684630351","0.000387303347969082","35670","-0.50458041650069","0.613856684348509"
"Real","Low Finger Switch, High Hand Switch","highlrswitch:lowfingerswitch:rha","-0.00931044756440187","0.00186239890852411","35670","-4.99916936258307","5.78502448978216e-07"
"Real","Low Finger Switch, High Hand Switch","speed:highlrswitch:lowfingerswitch:rha","-9.08541241310313e-05","0.000138239171013836","35670","-0.657224167829665","0.51104102844414"
"Real","High Finger Switch, Low Hand Switch","(Intercept)","4.47617458364355","0.0877096764842814","35670","51.0339880736618","0"
"Real","High Finger Switch, Low Hand Switch","letterfreq","0.112627318025636","0.0109626782840339","35670","10.2737045736047","1.00230141358585e-24"
"Real","High Finger Switch, Low Hand Switch","speed","0.00970600363309992","0.00389180951412937","604","2.49395649963388","0.0128990971777001"
"Real","High Finger Switch, Low Hand Switch","lowlrswitch","0.0541492814262056","0.0144920808290304","35670","3.73647387597607","0.000186909624615123"
"Real","High Finger Switch, Low Hand Switch","highfingerswitch","-0.0994427390000929","0.0159147682798013","35670","-6.24845660657866","4.19204393404555e-10"
"Real","High Finger Switch, Low Hand Switch","rha","0.100540436743092","0.0126289706897066","35670","7.96109510532307","1.75541058971755e-15"
"Real","High Finger Switch, Low Hand Switch","speed:lowlrswitch","-0.0027846506689062","0.0010837840233353","35670","-2.56937785476534","0.0101921555123505"
"Real","High Finger Switch, Low Hand Switch","speed:highfingerswitch","0.00370481755603811","0.00119304944569975","35670","3.10533445985145","0.00190212869356241"
"Real","High Finger Switch, Low Hand Switch","lowlrswitch:highfingerswitch","0.00689295940280426","0.00459738422814312","35670","1.49932201894474","0.133798962766891"
"Real","High Finger Switch, Low Hand Switch","speed:rha","0.000369147253184328","0.00092625147525843","35670","0.398538909836914","0.690235368172301"
