word,V.Mean.Sum,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
dub,5.35,2,2,-1,3,2.834333333,-1.056199305,-3.521364426,0.083357474
dud,3.74,2,2,-1,3,3.754666667,-1.056199305,-3.521364426,0.083357474
due,4.94,2,2,-1,3,6.571,-1.056199305,-3.521364426,0.083357474
dye,5.25,2,2,-1,3,6.309666667,-1.056199305,-3.521364426,0.083357474
elf,6.1,2,2,-1,3,6.318333333,-1.056199305,-3.521364426,0.083357474
end,4.73,2,2,-1,3,7.901333333,-1.056199305,-3.521364426,0.083357474
eye,6.18,2,2,-1,3,9.126,-1.056199305,-3.521364426,0.083357474
fib,3.15,2,2,-1,3,3.562,-1.056199305,-3.521364426,0.083357474
fig,5.23,2,2,-1,3,3.736333333,-1.056199305,-3.521364426,0.083357474
fir,5,2,2,-1,3,5.060333333,-1.056199305,-3.521364426,0.083357474
fit,6.28,2,2,-1,3,6.083333333,-1.056199305,-3.521364426,0.083357474
fix,6.11,2,2,-1,3,3.114666667,-1.056199305,-3.521364426,0.083357474
foe,3.15,2,2,-1,3,7.479,-1.056199305,-3.521364426,0.083357474
fog,5.77,2,2,-1,3,3.916666667,-1.056199305,-3.521364426,0.083357474
fox,5.52,2,2,-1,3,3.295,-1.056199305,-3.521364426,0.083357474
fur,5.65,2,2,-1,3,3.657666667,-1.056199305,-3.521364426,0.083357474
gig,6.48,2,2,-1,3,3.665333333,-1.056199305,-3.521364426,0.083357474
god,5.9,2,2,-1,3,4.591666667,-1.056199305,-3.521364426,0.083357474
gut,3.9,2,2,-1,3,4.609666667,-1.056199305,-3.521364426,0.083357474
rib,6.1,2,2,-1,3,4.815,-1.056199305,-3.521364426,0.083357474
rid,3.67,2,2,-1,3,5.735333333,-1.056199305,-3.521364426,0.083357474
rig,4.32,2,2,-1,3,4.989333333,-1.056199305,-3.521364426,0.083357474
rob,2.1,2,2,-1,3,4.995333333,-1.056199305,-3.521364426,0.083357474
rod,4.95,2,2,-1,3,5.915666667,-1.056199305,-3.521364426,0.083357474
roe,4.18,2,2,-1,3,8.732,-1.056199305,-3.521364426,0.083357474
rot,2.65,2,2,-1,3,7.516666667,-1.056199305,-3.521364426,0.083357474
row,5.48,2,2,-1,3,5.284666667,-1.056199305,-3.521364426,0.083357474
rub,6.63,2,2,-1,3,3.412333333,-1.056199305,-3.521364426,0.083357474
rug,5,2,2,-1,3,3.586666667,-1.056199305,-3.521364426,0.083357474
rut,2.9,2,2,-1,3,5.933666667,-1.056199305,-3.521364426,0.083357474
