Word,Valence Mean,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
game,6.98,2,3,-2,4,6.3225,-0.517408124,-1.52417795,-0.888781431
bake,6.17,2,3,-2,4,5.78325,-0.517408124,-1.52417795,-0.888781431
frog,5.71,2,2,-2,4,4.43425,-0.517408124,-2.52417795,-0.888781431
cane,4,2,3,-2,4,7.6,-0.517408124,-1.52417795,-0.888781431
ache,2.46,2,3,-2,4,7.43625,-0.517408124,-1.52417795,-0.888781431
rape,1.25,2,3,-2,4,7.19625,-0.517408124,-1.52417795,-0.888781431
grin,7.4,1,2,0,4,5.42925,-1.517408124,-2.52417795,1.111218569
tank,5.16,1,3,0,4,6.186,-1.517408124,-1.52417795,1.111218569
rain,5.08,1,3,0,4,6.96725,-1.517408124,-1.52417795,1.111218569
army,4.72,1,2,0,4,4.6335,-1.517408124,-2.52417795,1.111218569
fall,4.09,1,2,0,4,4.61125,-1.517408124,-2.52417795,1.111218569
cell,3.82,1,1,0,4,5.8835,-1.517408124,-3.52417795,1.111218569
evil,3.23,1,3,0,4,6.16775,-1.517408124,-1.52417795,1.111218569
scum,2.43,1,2,0,4,3.56825,-1.517408124,-2.52417795,1.111218569
gift,7.77,2,2,-2,4,5.06625,-0.517408124,-2.52417795,-0.888781431
cute,7.62,2,3,-2,4,6.8245,-0.517408124,-1.52417795,-0.888781431
wise,7.52,2,3,-2,4,7.08875,-0.517408124,-1.52417795,-0.888781431
bird,7.27,2,3,-2,4,4.6745,-0.517408124,-1.52417795,-0.888781431
soft,7.12,2,2,-2,4,6.2795,-0.517408124,-2.52417795,-0.888781431
dove,6.9,2,3,-2,4,6.36,-0.517408124,-1.52417795,-0.888781431
wife,6.33,2,3,-2,4,6.064,-0.517408124,-1.52417795,-0.888781431
flag,6.02,2,3,-2,4,4.10875,-0.517408124,-1.52417795,-0.888781431
cord,5.1,2,3,-2,4,5.13225,-0.517408124,-1.52417795,-0.888781431
dirt,4.17,2,2,-2,4,6.5655,-0.517408124,-2.52417795,-0.888781431
fire,3.22,2,3,-2,4,6.97075,-0.517408124,-1.52417795,-0.888781431
rude,2.5,2,2,-2,4,6.425,-0.517408124,-2.52417795,-0.888781431
cozy,7.39,3,3,0,4,3.08425,0.482591876,-1.52417795,1.111218569
wish,7.09,3,3,0,4,5.43675,0.482591876,-1.52417795,1.111218569
girl,6.87,3,3,0,4,4.74825,0.482591876,-1.52417795,1.111218569
tidy,6.3,3,3,0,4,5.56225,0.482591876,-1.52417795,1.111218569
foam,6.07,3,3,0,4,5.077,0.482591876,-1.52417795,1.111218569
fish,6.04,3,3,0,4,5.40375,0.482591876,-1.52417795,1.111218569
city,6.03,3,3,0,4,5.1945,0.482591876,-1.52417795,1.111218569
rock,5.56,3,3,0,4,4.262,0.482591876,-1.52417795,1.111218569
body,5.55,3,3,0,4,3.8065,0.482591876,-1.52417795,1.111218569
bowl,5.33,3,3,0,4,3.846,0.482591876,-1.52417795,1.111218569
fork,5.29,3,3,0,4,4.1235,0.482591876,-1.52417795,1.111218569
cork,5.22,3,3,0,4,4.262,0.482591876,-1.52417795,1.111218569
slap,2.95,3,3,0,4,5.112,0.482591876,-1.52417795,1.111218569
burn,2.73,3,3,0,4,4.2465,0.482591876,-1.52417795,1.111218569
