Word,Valence,LR_switch,finger_switch,rha,word_length,letter_freq
error,-2,2,3,-3,5,7.634
favor,2,2,4,-3,5,4.9734
fraud,-4,2,3,-3,5,4.6786
grand,3,2,3,-3,5,5.4342
grant,1,2,3,-3,5,6.3948
scams,-2,2,4,-3,5,5.2018
vague,-2,2,4,-3,5,5.324
warns,-2,2,4,-3,5,5.918
awful,-3,1,4,-1,5,3.9076
badly,-3,1,4,-1,5,3.9822
cramp,-1,1,4,-1,5,4.2542
sadly,-2,1,4,-1,5,4.9492
stall,-2,1,3,-1,5,6.32
abuse,-3,2,4,-3,5,6.2892
adore,3,2,4,-3,5,7.7232
bribe,-3,2,3,-3,5,5.7278
cried,-2,2,3,-3,5,6.538
cries,-2,2,4,-3,5,6.9528
fakes,-3,2,4,-3,5,6.0392
grief,-2,2,3,-3,5,5.9796
gross,-2,2,2,-3,5,5.6326
rants,-3,2,4,-3,5,7.2572
swift,2,2,2,-3,5,5.3874
tense,-2,2,4,-3,5,9.5072
trust,1,2,3,-3,5,6.6368
weird,-2,2,4,-3,5,6.4536
brisk,2,3,3,-1,5,4.3088
cruel,-3,3,4,-1,5,5.6508
crush,-1,3,4,-1,5,4.7896
delay,-1,3,3,-1,5,6.2242
drown,-2,3,4,-1,5,5.3712
expel,-2,3,4,-1,5,6.3016
faith,1,3,4,-1,5,6.5022
scorn,-2,3,4,-1,5,5.8704
stuck,-2,3,4,-1,5,4.339
abhor,-3,2,4,-1,5,5.8494
admit,-1,2,4,-1,5,6.1696
adopt,1,2,4,-1,5,6.1824
avoid,-1,2,4,-1,5,5.5742
broke,-1,2,3,-1,5,5.692
calms,2,2,4,-1,5,4.7414
crime,-3,2,4,-1,5,6.1686
fails,-2,2,4,-1,5,5.5426
gains,2,2,4,-1,5,6.0448
scold,-2,2,3,-1,5,4.9788
stops,-1,2,4,-1,5,6.2292
stout,2,2,4,-1,5,6.9408
wrong,-2,2,4,-1,5,4.9236
alert,-1,2,3,-3,5,7.9874
amaze,2,2,3,-3,5,6.3032
anger,-3,2,4,-3,5,7.124
bless,2,2,3,-3,5,6.1746
bored,-2,2,3,-3,5,6.3882
cheat,-3,2,4,-3,5,7.7602
cheer,2,2,3,-3,5,8.0534
clear,1,2,4,-3,5,6.7326
curse,-1,2,4,-3,5,6.1112
fired,-2,2,3,-3,5,6.4272
flees,-1,2,3,-3,5,7.5968
robed,-2,2,3,-3,5,6.3882
share,1,2,4,-3,5,7.8554
shrew,-4,2,4,-3,5,6.694
smart,1,2,3,-3,5,6.3886
smear,-2,2,4,-3,5,7.1178
suave,2,2,4,-3,5,6.1864
tired,-2,2,3,-3,5,7.7928
worse,-3,2,4,-3,5,6.9766
worst,-3,2,4,-3,5,6.2474
wowww,4,2,2,-3,5,3.3894
alarm,-2,3,4,-1,5,5.7504
angry,-3,3,3,-1,5,4.9784
bitch,-5,3,4,-1,5,5.278
charm,3,3,4,-1,5,5.0872
clash,-2,3,4,-1,5,5.479
clean,2,3,4,-1,5,6.885
dirty,-2,3,3,-1,5,5.6472
dizzy,-1,3,3,-1,5,2.6682
dodgy,-2,3,4,-1,5,4.0004
giddy,-2,3,3,-1,5,3.8922
rotfl,4,3,3,-1,5,5.7606
slash,-2,3,4,-1,5,6.188
sorry,-1,3,3,-1,5,5.5564
spark,1,3,4,-1,5,4.6364
worry,-3,3,3,-1,5,4.763
worth,2,3,3,-1,5,6.2008
blame,-2,4,4,-1,5,5.7584
chaos,-2,4,4,-1,5,6.1754
fight,-1,4,4,-1,5,5.2718
risks,-2,4,4,-1,5,5.2758
shame,-2,4,4,-1,5,7.1392
sucks,-3,4,4,-1,5,3.7932
wowow,4,4,4,-1,5,4.4188
alive,1,2,4,-1,5,6.5676
amuse,3,2,3,-1,5,6.472
bliss,3,2,3,-1,5,5.0274
boost,1,2,3,-1,5,6.3778
doubt,-1,2,3,-1,5,5.0132
duped,-2,2,3,-1,5,5.179
fuked,-4,2,3,-1,5,4.5426
ghost,-1,2,4,-1,5,6.1998
riots,-2,2,4,-1,5,7.1686
snubs,-2,2,3,-1,5,4.7306
solve,1,2,3,-1,5,6.3078
super,3,2,4,-1,5,5.9406
touts,-2,2,4,-1,5,6.9408
whore,-4,2,4,-1,5,6.93
hated,-3,1,3,-3,5,8.0544
hates,-3,1,4,-3,5,8.4692
irate,-3,1,4,-3,5,8.5756
leave,-1,1,4,-3,5,7.7148
peace,2,1,3,-3,5,7.6564
yeees,2,1,2,-3,5,9.2814
hardy,2,2,4,-1,5,5.295
harsh,-2,2,4,-1,5,6.5338
jewel,1,2,4,-1,5,6.3884
legal,1,2,4,-1,5,6.1868
medal,3,2,3,-1,5,6.3106
mercy,2,2,4,-1,5,5.1702
merry,3,2,3,-1,5,5.8112
nasty,-3,2,4,-1,5,6.4546
needy,-2,2,2,-1,5,7.676
harms,-2,3,4,-1,5,5.7962
havoc,-2,3,4,-1,5,5.1056
jesus,1,3,4,-1,5,5.6534
prays,1,3,4,-1,5,4.8768
hides,-1,1,3,-1,5,7.2684
hurts,-2,1,2,-1,5,6.0444
liars,-3,1,4,-1,5,6.2944
loser,-3,1,3,-1,5,7.3096
loved,3,1,2,-1,5,5.893
upset,-2,1,4,-1,5,6.5544
agreed,1,0,2,-6,6,7.637666667
agrees,1,0,3,-6,6,7.983333333
arrest,-2,0,4,-6,6,8.037666667
assets,2,0,4,-6,6,8.151
averts,-1,0,4,-6,6,7.202833333
awards,3,0,5,-6,6,5.876833333
badass,-3,0,4,-6,6,5.788833333
better,2,0,4,-6,6,8.499166667
defect,-3,0,3,-6,6,7.287166667
gagged,-2,0,3,-6,6,5.1945
greets,1,0,3,-6,6,8.1315
regret,-2,0,4,-6,6,8.074833333
retard,-2,0,5,-6,6,7.692
reward,2,0,5,-6,6,6.576
scared,-2,0,4,-6,6,6.703
severe,-2,0,5,-6,6,8.566333333
starve,-2,0,4,-6,6,7.202833333
swears,-2,0,4,-6,6,6.978333333
vested,1,0,4,-6,6,7.669666667
wasted,-2,0,4,-6,6,7.144166667
vision,1,3,5,2,6,5.9155
boldly,2,3,4,2,6,3.879333333
bloody,-3,3,3,2,6,4.459666667
annoys,-2,2,4,2,6,6.2455
prison,-2,4,5,2,6,5.910833333
lively,2,2,5,2,6,5.111666667
lovely,3,2,4,2,6,5.201833333
attack,-1,1,4,-4,6,6.333333333
beaten,-2,1,5,-4,6,8.478
betray,-3,1,4,-4,6,6.563
dreary,-2,1,5,-4,6,6.511666667
greedy,-2,1,2,-4,6,6.6055
sadden,-2,1,3,-4,6,7.075166667
safety,1,1,5,-4,6,6.742333333
scream,-2,1,5,-4,6,6.395166667
accept,1,2,3,-4,6,6.236333333
afraid,-2,2,4,-4,6,5.961333333
ardent,1,2,4,-4,6,7.819
battle,-1,2,4,-4,6,7.416333333
deceit,-3,2,2,-4,6,8.076833333
dreams,1,2,5,-4,6,6.640333333
escape,-1,2,5,-4,6,7.434833333
extend,1,2,5,-4,6,7.602
faggot,-3,2,4,-4,6,5.164666667
feeble,-2,2,4,-4,6,7.641833333
fervid,2,2,4,-4,6,5.519
rescue,2,2,5,-4,6,7.209666667
serene,2,2,5,-4,6,9.528166667
stable,2,2,5,-4,6,6.9615
steals,-2,2,5,-4,6,7.767333333
terror,-3,2,4,-4,6,7.871
tragic,-2,2,4,-4,6,5.828833333
dearly,3,1,4,-2,6,6.184666667
derail,-2,1,4,-2,6,7.016666667
detain,-2,1,4,-2,6,7.982166667
safely,1,1,5,-2,6,5.903833333
accuse,-2,2,4,-4,6,5.919666667
active,1,2,5,-4,6,6.775166667
awaits,-1,2,5,-4,6,6.8405
backed,1,2,4,-4,6,5.028
deride,-2,2,3,-4,6,7.8105
desire,1,2,4,-4,6,8.156166667
errors,-2,2,4,-4,6,7.416166667
excite,3,2,5,-4,6,7.393
excuse,-1,2,5,-4,6,6.236833333
favors,2,2,5,-4,6,5.199
frauds,-4,2,4,-4,6,4.953333333
grants,1,2,4,-4,6,6.3835
racist,-3,2,5,-4,6,6.5475
refuse,-2,2,5,-4,6,7.117333333
revive,2,2,5,-4,6,6.718833333
secure,2,2,4,-4,6,7.209666667
warned,-2,2,4,-4,6,6.703
frenzy,-3,3,4,-2,6,4.952333333
racism,-3,3,5,-2,6,5.439166667
resign,-1,3,5,-2,6,6.791
struck,-1,3,4,-2,6,4.613666667
warmth,2,3,5,-2,6,5.678333333
wealth,3,3,5,-2,6,7.067333333
acquit,2,2,5,-2,6,4.970666667
daring,2,2,5,-2,6,5.6895
exempt,-1,2,5,-2,6,6.490833333
strike,-1,2,3,-2,6,6.968333333
strong,2,2,4,-2,6,6.2735
trauma,-3,2,3,-2,6,6.090166667
vexing,-2,2,5,-2,6,4.926666667
zealot,-2,2,4,-2,6,6.921833333
aboard,1,2,5,-4,6,5.928833333
abused,-3,2,4,-4,6,5.949833333
abuses,-3,2,5,-4,6,6.2955
adored,3,2,4,-4,6,7.144833333
adores,3,2,5,-4,6,7.4905
aghast,-2,2,5,-4,6,6.637666667
cancer,-1,2,4,-4,6,6.528166667
damage,-3,2,5,-4,6,6.285
danger,-2,2,5,-4,6,6.6455
deject,-2,2,3,-4,6,6.941333333
ranter,-3,2,5,-4,6,8.108
reject,-1,2,4,-4,6,7.230333333
tender,2,2,4,-4,6,8.574833333
cancel,-1,3,4,-2,6,6.201166667
growth,2,3,4,-2,6,5.503166667
ashame,-2,4,5,-2,6,7.3105
bright,1,4,4,-2,6,5.268333333
censor,-2,4,4,-2,6,7.009
crisis,-3,4,5,-2,6,5.8925
critic,-2,4,5,-2,6,5.7565
demand,-1,4,4,-2,6,6.421666667
drowns,-2,4,5,-2,6,5.5305
expand,1,4,5,-2,6,5.658333333
expels,-2,4,5,-2,6,6.305833333
fright,-2,4,4,-2,6,5.391
abhors,-3,2,5,-2,6,5.929
admire,3,2,5,-2,6,6.746833333
admits,-1,2,5,-2,6,6.195833333
adopts,1,2,5,-2,6,6.2065
avoids,-1,2,5,-2,6,5.699666667
banned,-2,2,3,-2,6,6.685333333
calmed,2,2,4,-2,6,5.7225
damned,-4,2,3,-2,6,6.421666667
denied,-2,2,3,-2,6,7.9375
denier,-2,2,4,-2,6,8.2265
denies,-2,2,4,-2,6,8.283166667
expose,-1,2,5,-2,6,6.886166667
failed,-2,2,4,-2,6,6.390166667
gained,2,2,4,-2,6,6.808666667
rapist,-4,2,5,-2,6,6.405333333
wanker,-3,2,5,-2,6,6.122833333
amazed,2,2,3,-4,6,5.9615
amazes,2,2,4,-4,6,6.307166667
angers,-3,2,5,-4,6,6.991166667
biased,-2,2,4,-4,6,6.651166667
bitter,-2,2,4,-4,6,7.543166667
cheats,-3,2,5,-4,6,7.521333333
cheers,2,2,4,-4,6,7.765666667
clears,1,2,5,-4,6,6.665
clever,2,2,5,-4,6,6.529333333
coward,-2,2,5,-4,6,5.176
elated,3,2,4,-4,6,8.484166667
engage,1,2,5,-4,6,7.391666667
enrage,-2,2,5,-4,6,8.053666667
forced,-1,2,3,-4,6,5.909833333
forget,-1,2,4,-4,6,6.5825
rigged,-1,2,3,-4,6,5.656333333
robber,-2,2,4,-4,6,5.861166667
shared,1,2,4,-4,6,7.255
shares,1,2,5,-4,6,7.600666667
suffer,-2,2,4,-4,6,5.371666667
threat,-2,2,5,-4,6,8.510333333
thwart,-2,2,4,-4,6,6.786666667
burden,-2,3,4,-2,6,5.656833333
cheery,3,3,4,-2,6,7.040166667
classy,3,3,4,-2,6,4.933666667
fiasco,-3,3,5,-2,6,5.662833333
worsen,-3,3,5,-2,6,6.938666667
sorrow,-2,4,4,-2,6,5.945833333
blamed,-2,4,4,-2,6,5.5075
blames,-2,4,5,-2,6,5.853166667
bother,-2,4,5,-2,6,7.139666667
chance,2,4,4,-2,6,6.546
corpse,-1,4,5,-2,6,6.205666667
ensure,1,4,5,-2,6,7.870833333
envies,-1,4,5,-2,6,7.737333333
fucked,-4,4,4,-2,6,4.249166667
fucker,-4,4,5,-2,6,4.538166667
robust,2,4,5,-2,6,5.521166667
shamed,-2,4,4,-2,6,6.658166667
wicked,-2,4,4,-2,6,4.9725
wishes,1,4,5,-2,6,6.796
amused,3,2,3,-2,6,6.102166667
boosts,1,2,4,-2,6,6.369333333
combat,-1,2,5,-2,6,5.235
doubts,-1,2,4,-2,6,5.232166667
solved,1,2,3,-2,6,5.965333333
solves,1,2,4,-2,6,6.311
somber,-2,2,5,-2,6,6.070166667
superb,5,2,4,-2,6,5.199166667
touted,-2,2,4,-2,6,7.555333333
haters,-3,1,5,-4,6,8.0555
lagged,-2,1,3,-4,6,5.5295
matter,1,1,4,-4,6,7.895666667
messed,-2,1,3,-4,6,7.452833333
nerves,-1,1,4,-4,6,7.574166667
heaven,2,2,5,-2,6,7.898666667
marvel,3,2,4,-2,6,5.710833333
pretty,1,2,4,-2,6,6.784
jewels,1,3,5,-2,6,6.378166667
offend,-2,3,4,-2,6,5.9445
urgent,-1,3,4,-2,6,6.5445
hacked,-1,3,4,-2,6,5.795
harmed,-2,3,4,-2,6,6.6015
heroes,2,3,5,-2,6,8.553166667
leaked,-1,3,4,-2,6,7.1035
mature,2,3,5,-2,6,6.846
praise,3,3,5,-2,6,7.013
menace,-2,3,4,-2,6,7.584666667
intact,2,1,5,-2,6,7.129333333
lowest,-1,1,4,-2,6,6.996166667
missed,-2,1,3,-2,6,6.496833333
murder,-2,1,3,-2,6,5.682166667
niggas,-5,1,4,-2,6,5.373166667
nigger,-5,1,4,-2,6,6.072333333
pissed,-4,1,3,-2,6,6.417333333
please,1,1,5,-2,6,7.642
upsets,-2,1,5,-2,6,6.5165
frisky,2,3,4,0,6,4.042333333
banish,-1,3,5,0,6,5.965833333
broken,-1,3,4,0,6,5.868166667
fallen,-2,3,4,0,6,6.316
genial,3,3,5,0,6,6.770666667
stingy,-2,3,5,0,6,5.5145
stolen,-2,3,4,0,6,7.727666667
aching,-2,2,5,0,6,5.462166667
crying,-2,2,5,0,6,4.412166667
damnit,-4,2,4,0,6,6.266166667
faking,-3,2,4,0,6,4.482833333
stupid,-2,2,5,0,6,5.214833333
apathy,-3,3,4,0,6,5.897833333
costly,-2,3,5,0,6,5.2785
sneaky,-1,3,5,0,6,6.115166667
victim,-3,3,5,0,6,4.859
woeful,-3,3,5,0,6,5.263333333
worthy,2,3,3,0,6,5.496333333
boring,-3,4,5,0,6,5.119333333
firing,-2,4,5,0,6,5.151833333
futile,2,4,5,0,6,6.289166667
robing,-2,4,5,0,6,5.119333333
thanks,2,4,5,0,6,6.194166667
blurry,-2,3,4,0,6,3.703833333
comedy,1,3,4,0,6,5.270666667
shitty,-3,3,4,0,6,6.578833333
blithe,2,4,5,0,6,6.7225
blocks,-1,4,4,0,6,3.8175
douche,-3,4,5,0,6,6.016
shocks,-2,4,5,0,6,4.968166667
soothe,3,4,4,0,6,8.198833333
spirit,1,4,5,0,6,6.205166667
bummer,-2,2,3,0,6,4.625166667
choked,-2,2,4,0,6,5.685
chokes,-2,2,5,0,6,6.030666667
doomed,-2,2,3,0,6,6.438
dumped,-2,2,3,0,6,4.716833333
ruined,-2,2,4,0,6,6.569166667
smiled,2,2,4,0,6,6.113166667
smiles,2,2,5,0,6,6.458833333
winner,4,2,4,0,6,6.918833333
