word,valence,LR_switch,finger_switch,rha,word_length,letter_freq,hand_c,finger_c,rha_c
tracked,-0.3,2,4,-5,7,6.245571429,-0.722222222,-1.152777778,-1.840277778
wearied,-1.3,2,5,-5,7,7.591,-0.722222222,-0.152777778,-1.840277778
accused,-2,2,4,-5,7,5.681571429,-0.722222222,-1.152777778,-1.840277778
advised,1,2,5,-5,7,6.235142857,-0.722222222,-0.152777778,-1.840277778
derided,-0.8,2,3,-5,7,7.302285714,-0.722222222,-2.152777778,-1.840277778
exalted,-0.5,2,5,-5,7,7.293571429,-0.722222222,-0.152777778,-1.840277778
excited,1.7,2,5,-5,7,6.944428571,-0.722222222,-0.152777778,-1.840277778
excused,-0.1,2,5,-5,7,5.953428571,-0.722222222,-0.152777778,-1.840277778
rebuked,-1.9,2,5,-3,7,5.809428571,-0.722222222,-0.152777778,0.159722222
reviled,-1.7,2,5,-3,7,6.801857143,-0.722222222,-0.152777778,0.159722222
trailed,-0.3,2,4,-3,7,7.308,-0.722222222,-1.152777778,0.159722222
grieved,-2.6,2,4,-5,7,6.514714286,-0.722222222,-1.152777778,-1.840277778
relaxed,2.1,2,5,-5,7,6.855142857,-0.722222222,-0.152777778,-1.840277778
trusted,2.1,2,4,-5,7,7.162714286,-0.722222222,-1.152777778,-1.840277778
fancied,0.9,4,5,-3,7,6.263857143,1.277777778,-0.152777778,0.159722222
scorned,-2,4,5,-3,7,6.615285714,1.277777778,-0.152777778,0.159722222
admired,2,2,5,-3,7,6.390571429,-0.722222222,-0.152777778,0.159722222
avoided,-1.1,2,4,-3,7,6.403714286,-0.722222222,-1.152777778,0.159722222
daunted,-1.2,2,4,-3,7,6.848285714,-0.722222222,-1.152777778,0.159722222
saluted,1.6,2,5,-3,7,6.755428571,-0.722222222,-0.152777778,0.159722222
scolded,-1.9,2,3,-3,7,5.978428571,-0.722222222,-2.152777778,0.159722222
angered,-2.5,2,5,-5,7,7.510714286,-0.722222222,-0.152777778,-1.840277778
blessed,2.4,2,4,-5,7,6.832571429,-0.722222222,-1.152777778,-1.840277778
cheated,-2.4,2,5,-5,7,7.965142857,-0.722222222,-0.152777778,-1.840277778
cheered,2.2,2,4,-5,7,8.174571429,-0.722222222,-1.152777778,-1.840277778
enraged,-2.4,2,5,-5,7,7.510714286,-0.722222222,-0.152777778,-1.840277778
forgave,-0.3,2,5,-5,7,5.654857143,-0.722222222,-0.152777778,-1.840277778
toasted,1.3,2,5,-5,7,8.152571429,-0.722222222,-0.152777778,-1.840277778
alarmed,-2,4,5,-3,7,6.529571429,1.277777778,-0.152777778,0.159722222
charmed,2,4,5,-3,7,6.055857143,1.277777778,-0.152777778,0.159722222
cuddled,2.5,4,4,-3,7,5.003714286,1.277777778,-1.152777778,0.159722222
worried,-1.8,4,4,-3,7,6.537428571,1.277777778,-1.152777778,0.159722222
enticed,1,4,4,-3,7,7.887142857,1.277777778,-1.152777778,0.159722222
visited,0.7,4,5,-3,7,6.749714286,1.277777778,-0.152777778,0.159722222
spanked,-1.6,4,5,-1,7,5.842714286,1.277777778,-0.152777778,2.159722222
thanked,2.3,4,5,-1,7,6.827571429,1.277777778,-0.152777778,2.159722222
courted,0.1,2,4,-3,7,6.435,-0.722222222,-1.152777778,0.159722222
snubbed,-2.3,2,3,-3,7,5.110428571,-0.722222222,-2.152777778,0.159722222
shocked,-1.1,4,5,-1,7,5.776714286,1.277777778,-0.152777778,2.159722222
floored,0,2,3,-1,7,6.315571429,-0.722222222,-2.152777778,2.159722222
wounded,-2.2,2,3,-1,7,5.797428571,-0.722222222,-2.152777778,2.159722222
annoyed,-2,2,4,1,7,6.871571429,-0.722222222,-1.152777778,4.159722222
chilled,-0.7,2,4,1,7,5.835285714,-0.722222222,-1.152777778,4.159722222
spooked,-1.3,2,4,1,7,5.856714286,-0.722222222,-1.152777778,4.159722222
married,2.4,3,4,-3,7,6.638285714,0.277777778,-1.152777778,0.159722222
nettled,-1.8,3,4,-3,7,8.363285714,0.277777778,-1.152777778,0.159722222
praised,1.8,3,5,-3,7,6.618714286,0.277777778,-0.152777778,0.159722222
haunted,-2.1,3,4,-1,7,7.111285714,0.277777778,-1.152777778,2.159722222
pleased,1.7,1,5,-3,7,7.157857143,-1.722222222,-0.152777778,0.159722222
loathed,-2.8,3,4,-1,7,7.400571429,0.277777778,-1.152777778,2.159722222
nuzzled,1.5,3,3,-1,7,4.376428571,0.277777778,-2.152777778,2.159722222
plagued,-2.7,3,5,-1,7,5.121285714,0.277777778,-0.152777778,2.159722222
pursued,0.1,3,5,-1,7,5.244857143,0.277777778,-0.152777778,2.159722222
noticed,0.6,3,4,-1,7,7.145,0.277777778,-1.152777778,2.159722222
mourned,-2.7,3,5,1,7,6.051714286,0.277777778,-0.152777778,4.159722222
affected,0.2,0,4,-8,8,6.76475,-2.722222222,-1.152777778,-4.840277778
caressed,1.5,0,5,-8,8,7.405875,-2.722222222,-0.152777778,-4.840277778
deserted,-2.2,0,4,-8,8,8.49775,-2.722222222,-1.152777778,-4.840277778
detested,-2.6,0,5,-8,8,8.881375,-2.722222222,-0.152777778,-4.840277778
rewarded,2.5,0,5,-8,8,7.051375,-2.722222222,-0.152777778,-4.840277778
betrayed,-2.5,2,5,-6,8,7.041625,-0.722222222,-0.152777778,-2.840277778
esteemed,0.9,2,5,-6,8,9.10625,-0.722222222,-0.152777778,-2.840277778
startled,-1,2,5,-6,8,7.446625,-0.722222222,-0.152777778,-2.840277778
deceived,-2.7,2,3,-6,8,7.16725,-0.722222222,-2.152777778,-2.840277778
resented,-2.1,2,6,-6,8,8.80975,-0.722222222,0.847222222,-2.840277778
escorted,0,2,5,-6,8,7.6645,-0.722222222,-0.152777778,-2.840277778
despised,-2.8,2,5,-4,8,6.932375,-0.722222222,-0.152777778,-0.840277778
favoured,1.3,2,6,-4,8,5.5725,-0.722222222,0.847222222,-0.840277778
revolted,-1.6,2,5,-4,8,7.15125,-0.722222222,-0.152777778,-0.840277778
beguiled,-0.7,2,6,-2,8,5.864125,-0.722222222,0.847222222,1.159722222
agitated,-1.4,2,6,-6,8,7.54775,-0.722222222,0.847222222,-2.840277778
censured,-0.9,4,5,-4,8,6.7825,1.277777778,-0.152777778,-0.840277778
reproved,-0.4,4,6,-4,8,6.505625,1.277777778,0.847222222,-0.840277778
repelled,-1.8,4,5,-2,8,7.290625,1.277777778,-0.152777778,1.159722222
welcomed,1.2,4,6,-2,8,6.092125,1.277777778,0.847222222,1.159722222
abhorred,-1.2,2,5,-4,8,6.523625,-0.722222222,-0.152777778,-0.840277778
believed,1.5,2,6,-4,8,6.9775,-0.722222222,0.847222222,-0.840277778
banished,-2.2,4,6,-2,8,6.59375,1.277777778,0.847222222,1.159722222
relished,1,4,6,-2,8,7.382,1.277777778,0.847222222,1.159722222
troubled,-1.6,4,5,-2,8,5.9725,1.277777778,-0.152777778,1.159722222
deplored,-1.8,2,4,-2,8,6.66975,-0.722222222,-1.152777778,1.159722222
repulsed,-2.9,2,6,-2,8,6.335375,-0.722222222,0.847222222,1.159722222
answered,0.6,2,5,-6,8,7.405875,-0.722222222,-0.152777778,-2.840277778
embraced,2,2,4,-6,8,6.311375,-0.722222222,-1.152777778,-2.840277778
shadowed,-0.7,4,6,-4,8,6.457875,1.277777778,0.847222222,-0.840277778
bothered,-1.4,4,6,-4,8,7.474125,1.277777778,0.847222222,-0.840277778
divorced,-2.7,4,5,-4,8,5.6785,1.277777778,-0.152777778,-0.840277778
sickened,-2.4,6,6,-2,8,6.656625,3.277777778,0.847222222,1.159722222
disliked,-1.6,4,5,0,8,5.783,1.277777778,-0.152777778,3.159722222
appeased,1.1,2,5,-4,8,7.022,-0.722222222,-0.152777778,-0.840277778
confused,-1.1,4,6,-2,8,5.66325,1.277777778,0.847222222,1.159722222
appalled,-2.5,4,4,0,8,5.649625,1.277777778,-1.152777778,3.159722222
consoled,1.5,4,5,0,8,6.4815,1.277777778,-0.152777778,3.159722222
vilified,-0.9,4,6,0,8,5.6355,1.277777778,0.847222222,3.159722222
followed,0,2,3,0,8,5.575875,-0.722222222,-2.152777778,3.159722222
employed,1,2,5,2,8,5.93725,-0.722222222,-0.152777778,5.159722222
harassed,-2.4,1,5,-6,8,7.253,-1.722222222,-0.152777778,-2.840277778
maddened,-1.8,3,4,-4,8,6.935625,0.277777778,-1.152777778,-0.840277778
pardoned,0.1,3,6,-2,8,6.443375,0.277777778,0.847222222,1.159722222
pacified,0.2,5,6,-2,8,5.749125,2.277777778,0.847222222,1.159722222
provoked,-1.4,5,6,0,8,5.204375,2.277777778,0.847222222,3.159722222
idolized,0.9,3,5,0,8,5.84325,0.277777778,-0.152777778,3.159722222
placated,0.5,1,6,-4,8,6.385125,-1.722222222,0.847222222,-0.840277778
incensed,-1.1,3,5,-2,8,7.40375,0.277777778,-0.152777778,1.159722222
inspired,1.5,3,6,0,8,6.484875,0.277777778,0.847222222,3.159722222
insulted,-1.9,3,6,0,8,6.6045,0.277777778,0.847222222,3.159722222
unnerved,-0.8,1,3,-2,8,6.60975,-1.722222222,-2.152777778,1.159722222
uplifted,2.2,1,5,0,8,5.489625,-1.722222222,-0.152777778,3.159722222
punished,-2.1,3,5,2,8,5.97225,0.277777778,-0.152777778,5.159722222
honoured,1.6,1,6,2,8,6.694625,-1.722222222,0.847222222,5.159722222
attracted,1.8,0,5,-9,9,7.691777778,-2.722222222,-0.152777778,-5.840277778
staggered,-1,0,6,-9,9,7.024888889,-2.722222222,0.847222222,-5.840277778
reassured,1.6,2,6,-7,9,7.245555556,-0.722222222,0.847222222,-3.840277778
treasured,2.3,2,6,-7,9,7.548777778,-0.722222222,0.847222222,-3.840277778
affronted,-1,2,5,-5,9,6.541888889,-0.722222222,-0.152777778,-1.840277778
respected,1.8,2,6,-7,9,7.604444444,-0.722222222,0.847222222,-3.840277778
abandoned,-2.1,4,7,-3,9,6.671,1.277777778,1.847222222,0.159722222
acclaimed,1.3,4,6,-3,9,5.805555556,1.277777778,0.847222222,0.159722222
